sha16	type	stage	note
006e11f78295896d	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
01ea5e02daa5f7ff	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
023f1ba1f7687607	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
029be199a9be154a	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
02b3e4ea9d5b47dc	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
034adbfe3bd9bf2f	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
0370545b24a16e83	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
03899a8a77cf68c0	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
04115ac292d3d736	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
044bdb536e0b8c1f	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
044f8d5cd9ec3cc8	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
045ee7b76dec5183	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
05c3422fca9e079a	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
05cbeaabc5bcf94b	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
06044d154b6d7d82	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
06d129f1ce002353	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
06efbd47bfd8c79e	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
07d2e785b6d48186	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
07e1e06ecf2271ad	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
0943e6febc6f0918	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
09c1c55dfe8cc19e	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
0ae65dee7f5ab5ab	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
0bb922fab116eea9	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
0c104a77d3dc1bef	docx	open	docx: parsing /word/document.xml: XML syntax error on line N: illegal character code U+NF
0c278a90eabecd4e	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
0df77124ffb2449e	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
0e1ec31dbb265dec	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
0e369d9524bf769c	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
0f0d17789928c383	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
0ff733e498113a8b	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
10494f932bd0f943	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
105df71390a2da99	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
10b7dc0b0b020d76	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
10f20a5181fd09ce	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
1160a2ead81196d0	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
11a044b3c20d22fe	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
11e5cd887ec84eea	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
1220e569234c571b	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
