crawl	url	warc_filename	warc_record_offset	warc_record_length	content_digest
CC-MAIN-2026-08	https://retirement.johnhancock.com/bin/jhi-rps/seismic/render	crawl-data/CC-MAIN-2026-08/segments/1770395505906.10/warc/CC-MAIN-20260208190305-20260208220305-00340.warc.gz	364282701	5167675	223HQLO6OQBB3GBJV3ULVA6XDG4TXHD7
CC-MAIN-2026-17	https://www.doe.virginia.gov/home/showpublisheddocument/3012/637982464468000000	crawl-data/CC-MAIN-2026-17/segments/1775805909319.77/warc/CC-MAIN-20260418185138-20260418215138-00786.warc.gz	607032676	4829837	225LFTGTZDDA4O33GI4MC37PEE4YPTKI
CC-MAIN-2026-25	https://bepep.insei.fr/pluginfile.php/4276/mod_resource/content/0/Debriefing-Access_v5.pptx	crawl-data/CC-MAIN-2026-25/segments/1780687573334.26/warc/CC-MAIN-20260615132716-20260615162716-00328.warc.gz	82052193	5224306	22AGJ4FERIGLZCXKOD3NWIEU5GMBT7MH
CC-MAIN-2026-25	https://www.ragic.com/sims/file.jsp	crawl-data/CC-MAIN-2026-25/segments/1780687572938.60/warc/CC-MAIN-20260613205123-20260613235123-00309.warc.gz	808351235	4981582	22CBYW7JRAB7YELKETT5453VQXGNTP3X
CC-MAIN-2026-17	https://mosl.co.uk/document/groups-and-committees/user-forum/4713-user-forum-deck-17-nov-1-2/file	crawl-data/CC-MAIN-2026-17/segments/1775805908720.29/warc/CC-MAIN-20260413010038-20260413040038-00794.warc.gz	338758266	4248481	22IZ2HLUSGUDWYG2IU7MZ6YDWJFCOTPG
CC-MAIN-2026-12	https://www.hetpecset.hu/site/admin/file/download/279	crawl-data/CC-MAIN-2026-12/segments/1772687277525.20/warc/CC-MAIN-20260307080532-20260307110532-00660.warc.gz	605951333	5200762	22JBGNDPNVUMJE6TQHYJT6UWBQNAKPNS
CC-MAIN-2026-12	https://www.streamnet.org/wp-content/uploads/2021/04/20170906-Sep-7-Powerpoint-20170906.pptx	crawl-data/CC-MAIN-2026-12/segments/1772687558749.86/warc/CC-MAIN-20260317021648-20260317051648-00623.warc.gz	704625010	5143983	22PK5UTRNFHKEK6AO4TCIYHHMKTHLQV5
CC-MAIN-2026-21	https://portal.scotsman-ice.com/ResourceCenter/Files/GetFile/SCT_0726%20Prodigy%20Plus%20PPT%20v6.pptx/41	crawl-data/CC-MAIN-2026-21/segments/1778213377526.23/warc/CC-MAIN-20260512174739-20260512204739-00783.warc.gz	397892734	5083295	22R6EFP3VZAXH2NZH3XRSRP4USE2EF2D
CC-MAIN-2026-17	https://toolbox.finland.fi/wp-content/uploads/sites/2/2020/11/high-quality-finnish-products-on-the-global-markets-2.pptx	crawl-data/CC-MAIN-2026-17/segments/1775805909017.61/warc/CC-MAIN-20260416132224-20260416162224-00982.warc.gz	450618357	5207244	22SB5GODWNBDECKUSMPF6OZ5XH4ZRUPQ
CC-MAIN-2026-12	https://edumethod.uk/_ld/1/160_yrP.pptx	crawl-data/CC-MAIN-2026-12/segments/1772687277631.63/warc/CC-MAIN-20260308124534-20260308154534-00839.warc.gz	169511453	5235645	22UMU5CAYADPWNNF3JWIH6MO7EEGFLA2
CC-MAIN-2026-21	https://catalog.fdic.gov/catalog/sfc/servlet.shepherd/document/download/069t000000BcgtdAAB	crawl-data/CC-MAIN-2026-21/segments/1778213376806.31/warc/CC-MAIN-20260508104411-20260508134411-00840.warc.gz	135702723	4345788	233XZA3QWUWPWJ44HAWV4GWA2JPBQ4WN
CC-MAIN-2026-25	https://www.cl.df.gov.br/documents/5744484/32886233/C%C3%B3pia+de+Diagnostico-da-Gestao-do-Programa-de-Alimentacao-Escolar-do-Distrito-Federal-PAE-DF.pptx/ec4d28a5-b0e9-de8e-08f9-6f77bb6cf59e	crawl-data/CC-MAIN-2026-25/segments/1780687572580.11/warc/CC-MAIN-20260610112837-20260610142837-00197.warc.gz	569967689	5241188	23D3PCLJOWJNRFKEMHUMPZP4ZGMXU2S7
CC-MAIN-2026-17	https://www.rocklandcountyny.gov/home/showpublisheddocument/8156/639064172683870000	crawl-data/CC-MAIN-2026-17/segments/1775805909216.76/warc/CC-MAIN-20260417235941-20260418025941-00411.warc.gz	821439153	5179029	23MSRNGNMKQ2LT2M6FSPWVEXAVDWZESS
CC-MAIN-2026-04	https://nopren.ucsf.edu/document/her-nopren-slides-sss-25-session-2	crawl-data/CC-MAIN-2026-04/segments/1768220469299.56/warc/CC-MAIN-20260116111648-20260116141648-00965.warc.gz	352843806	5193373	23S2ZWWRG2YDEIQ4A7H5JJQP32CXR7HU
