crawl	url	warc_filename	warc_record_offset	warc_record_length	content_digest
CC-MAIN-2026-08	https://abs-canada.org/wp-content/uploads/2025/04/Kate-Davis_Overview-of-Government-of-Canada-actions-on-ABS-and-DSI.pptx	crawl-data/CC-MAIN-2026-08/segments/1770395506505.5/warc/CC-MAIN-20260215035505-20260215065505-00570.warc.gz	60095203	2375814	2245SADJHBEYZ7FXA4OKHIF6AI2OVAS7
CC-MAIN-2026-04	https://www.acilx.com/wp-content/uploads/2024/08/Ders_10.pptx	crawl-data/CC-MAIN-2026-04/segments/1768220469311.69/warc/CC-MAIN-20260116172848-20260116202848-00517.warc.gz	528398612	64057	22B3QDWEJA3MLSHZ2M2CUUVTN5EF7ZEY
CC-MAIN-2026-12	https://generalspace.ggc.edu/server/api/core/bitstreams/334767a4-7504-44e7-8fe8-f7a5183f1157/content	crawl-data/CC-MAIN-2026-12/segments/1772687550013.72/warc/CC-MAIN-20260315132852-20260315162852-00583.warc.gz	195790507	951521	22F4Q2O5LG6IZF32LG4TKXWXGNVL6TNP
CC-MAIN-2026-17	http://studymafia.org/wp-content/uploads/2023/01/Hybridoma-Technology.pptx	crawl-data/CC-MAIN-2026-17/segments/1775805908790.92/warc/CC-MAIN-20260414142456-20260414172456-00770.warc.gz	33244111	708571	22FGMYL2UPX4AL6ZVEUO3C3S4MZB2EK7
CC-MAIN-2026-04	https://maranathamedia.de/downloads/Bibliothek/Studien/Was%20ist%20das%20Evangelium.pptx	crawl-data/CC-MAIN-2026-04/segments/1768220469415.65/warc/CC-MAIN-20260118155230-20260118185230-00807.warc.gz	304101551	3601128	22FYV7RZUBRDDJXBQDY7WTEGC7GVMMI2
CC-MAIN-2026-12	https://www.ggzcommunity.nl/api/documents/downloadfile	crawl-data/CC-MAIN-2026-12/segments/1772687277619.37/warc/CC-MAIN-20260308063647-20260308093647-00552.warc.gz	579212767	3066811	22KTSJDNIUOHOVC6GDZMUYQGJMJMIU52
CC-MAIN-2026-12	https://www.uncdf.org/download/file/127/6334/prsentation-alid-uncdf-new-york-2018en-review-aspptx	crawl-data/CC-MAIN-2026-12/segments/1772687278899.75/warc/CC-MAIN-20260314084913-20260314114913-00727.warc.gz	773037151	2652818	22OFKBWU23OHXCON2JELNTWE64ZUVZCC
CC-MAIN-2026-04	https://www.maslabskeskaly.cz/e_download.php	crawl-data/CC-MAIN-2026-04/segments/1768220840330.83/warc/CC-MAIN-20260124103337-20260124133337-00766.warc.gz	729293495	231626	22SX3CFCRWFK4A4CSAILY2L4ZQXQMGTB
CC-MAIN-2026-17	https://www.pelerin-montsaintmichel.org/fondation-du-mont-saint-michel/fondateurs/comptes/synthese-des-comptes-2024	crawl-data/CC-MAIN-2026-17/segments/1775805908674.53/warc/CC-MAIN-20260412081113-20260412111113-00103.warc.gz	812130822	702719	234N4EE4Z22RARNO6YVQSPXHJOWLNG3E
CC-MAIN-2026-21	https://www.dnc.ac.jp/albums/abm.php	crawl-data/CC-MAIN-2026-21/segments/1778213377321.70/warc/CC-MAIN-20260510224620-20260511014620-00123.warc.gz	631076579	241158	234NIIBWBVT5PIOG7TESDW7A3XI3GUTP
