crawl	url	warc_filename	warc_record_offset	warc_record_length	content_digest
CC-MAIN-2026-17	https://www.lahti.fi/tiedostot/viherkerroinlaskuri/	crawl-data/CC-MAIN-2026-17/segments/1775805909379.39/warc/CC-MAIN-20260419072330-20260419102330-00733.warc.gz	692267797	5220355	23HT75NFG5FTFNL5E42XGRAMETMW2KNX
CC-MAIN-2026-21	https://www.cienciaabertabrasil.org/revista/preprint/download/11/19	crawl-data/CC-MAIN-2026-21/segments/1778213672391.90/warc/CC-MAIN-20260516164018-20260516194018-00412.warc.gz	567744776	4442809	265QXSP5V64LQAOHHABOUN4EFW4TJYXS
CC-MAIN-2026-17	https://www.dcovotes.dconc.gov/home/showpublisheddocument/35127/639106355885570000	crawl-data/CC-MAIN-2026-17/segments/1775805908819.34/warc/CC-MAIN-20260414234659-20260415024659-00197.warc.gz	591040363	5151986	26OLRFV7SDSWFZ7MYD23WRR5V3FBP7EV
CC-MAIN-2026-12	https://www.bsmsupervisao.com.br/documents/1266368/1723361/LS_202511_benchmarks.xlsx/44cbd8e6-f2c8-d21e-ae41-a9b20bcbca9e	crawl-data/CC-MAIN-2026-12/segments/1772687277625.58/warc/CC-MAIN-20260308093858-20260308123858-00585.warc.gz	480519892	5074731	26YUDSH5MEY3FU4ZHA77ISLDGNVV4Z3G
CC-MAIN-2026-25	https://www.rossetisk.ru/dispencer.php	crawl-data/CC-MAIN-2026-25/segments/1780687572081.59/warc/CC-MAIN-20260606005016-20260606035016-00450.warc.gz	761539806	1097311	2BRGXG4PHAYDVYQ6S2H4CKT2RGUBD7JK
CC-MAIN-2026-25	https://www.cschms.cz/sle_ph_download.php	crawl-data/CC-MAIN-2026-25/segments/1780687572462.21/warc/CC-MAIN-20260609075603-20260609105603-00871.warc.gz	566735083	5165292	2BTO5DPA4HHBEZ7O3P7PUIE5ORPHB3PK
CC-MAIN-2026-12	https://extension.umaine.edu/grains-oilseeds/wp-content/uploads/sites/16/2020/06/ME-Grain-Pulse-BUDGETS14L.xlsx	crawl-data/CC-MAIN-2026-12/segments/1772687277471.38/warc/CC-MAIN-20260306225656-20260307015656-00266.warc.gz	177369213	1678177	2DJDWVXFQOWQNKQD2OLS46GVW5NYU5KP
CC-MAIN-2026-12	https://www.rds.oeb.ca/CMWebDrawer/Record/929859/File/document	crawl-data/CC-MAIN-2026-12/segments/1772687277315.92/warc/CC-MAIN-20260305162732-20260305192732-00578.warc.gz	721363848	4904154	2EEBLTYAMSB2L5I5KZF6N7QHE62G7CGA
CC-MAIN-2026-21	https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ministerio-de-gobierno/matrimonios/dataset_Matrimonios.xlsx	crawl-data/CC-MAIN-2026-21/segments/1778213377469.30/warc/CC-MAIN-20260512144435-20260512174435-00965.warc.gz	130165690	5228064	2EJV3BVCG4ERN4O4EUK5YM6DR2RXTE3U
CC-MAIN-2026-17	https://www.ayedas.com.tr/site-dosya/dosya-on-izleme/64773-2025%20Temmuz%20Tedarik%20S%C3%BCreklili%C4%9Fi%20Kalite%20G%C3%B6stergesi-Tablo1	crawl-data/CC-MAIN-2026-17/segments/1775806207228.54/warc/CC-MAIN-20260421123315-20260421153315-00057.warc.gz	503525369	848780	2FBNQEBY6A7DNEBBM3OYK6QKQW3D2FXQ
CC-MAIN-2026-25	https://oveko.schok.cz/files/1135a0d73fda6961bf5b55f710e19047673d49f5f0e4493de11753d908904618	crawl-data/CC-MAIN-2026-25/segments/1780687572801.27/warc/CC-MAIN-20260613020618-20260613050618-00206.warc.gz	353744840	5109176	2FLCKCM2XWIP5VQEKBARNKKO3PD3POGS
CC-MAIN-2026-12	https://www.haugen-gruppen.no/xlsx/oppskrifter/foodservice/pansarotti-med-villsopp-og-bacon_43761	crawl-data/CC-MAIN-2026-12/segments/1772687278033.56/warc/CC-MAIN-20260311121858-20260311151858-00078.warc.gz	610083756	5245476	2G74E4W5QCR5EVKXLAFMYMNEPPSU6G53
CC-MAIN-2026-17	https://portalfns.saude.gov.br/wp-content/uploads/2026/04/REPASSE-FAF-COM-POPULACAO-MARCO-2026.xlsx	crawl-data/CC-MAIN-2026-17/segments/1775805909127.26/warc/CC-MAIN-20260417112009-20260417142009-00856.warc.gz	367624654	5142382	2GK6CGLGY47L6KY7VYGOE446ERV7LJIU
