crawl	url	warc_filename	warc_record_offset	warc_record_length	content_digest
CC-MAIN-2026-17	http://sa.mofcom.gov.cn/cms_files/filemanager/288213348/attach/20255/4f6e81e134c5480abbb475170453e55f.xlsx	crawl-data/CC-MAIN-2026-17/segments/1775805908994.37/warc/CC-MAIN-20260416070741-20260416100741-00817.warc.gz	17706565	13348	222RVHXV5VE4A36TUAKBXGERWBMVVI4Z
CC-MAIN-2026-25	https://www.uts.edu.co/sitio/wp-content/uploads/2019/10/INFORME-ENERO-2025.xlsx	crawl-data/CC-MAIN-2026-25/segments/1780687573077.44/warc/CC-MAIN-20260614061428-20260614091428-00024.warc.gz	917850884	34519	224WVLTG4YAGR6OTYBNNN3CRTH72LK3T
CC-MAIN-2026-21	https://www.presanse-pacacorse.org/fichier/31804/849	crawl-data/CC-MAIN-2026-21/segments/1778213377298.13/warc/CC-MAIN-20260510133223-20260510163223-00212.warc.gz	804491527	35420	225B6GMOKHBPQ7JMMWNTHYAGWNUGZFXA
CC-MAIN-2026-12	https://www.aic-kk.co.jp/wp-content/files/05-3_inin.xlsx	crawl-data/CC-MAIN-2026-12/segments/1772687548524.64/warc/CC-MAIN-20260315072004-20260315102004-00407.warc.gz	462291392	14495	225ZLZJ7YJGUV7EIIXS4XGOKE7OZHQTN
CC-MAIN-2026-17	https://members.oceantrack.org/data/repository/cmmat/data-and-metadata/otn_metadata_tagging-cmm-2023-acoustics-updated-jan-2024-_qc.xlsx/@@download/file	crawl-data/CC-MAIN-2026-17/segments/1775805908774.13/warc/CC-MAIN-20260413132510-20260413162510-00401.warc.gz	350475913	58536	226KXVT5OAUR4E2AO47TZBQFNHVQMTAL
CC-MAIN-2026-21	https://www.owa.de/wp-content/uploads/2019/01/OWA_Mengenermittler_neues_CE.xlsx	crawl-data/CC-MAIN-2026-21/segments/1778213678843.89/warc/CC-MAIN-20260517202058-20260517232058-00249.warc.gz	815444279	26932	227EHXEEDYXDZ55LLBNR6DGYCAHQUXCY
CC-MAIN-2026-12	https://www.benricho.org/bmi/download/excel/kaup-calender-3years.xlsx	crawl-data/CC-MAIN-2026-12/segments/1772687277316.16/warc/CC-MAIN-20260305193222-20260305223222-00553.warc.gz	499590738	48616	227F7KYZQARPR5L7YDGNG5DLPNLAUR3S
CC-MAIN-2026-21	https://www.fiscal.es/documents/13333297/13855567/FCA_Madrid_2022.xlsx/0ea61975-9177-98ff-c089-fdd25bc56bd5	crawl-data/CC-MAIN-2026-21/segments/1778213376901.20/warc/CC-MAIN-20260519120024-20260519150024-00653.warc.gz	689220242	197661	227KAPL3VNYRZG4RO6YPXBQB6CSNBX4X
CC-MAIN-2026-25	https://www.mindev.gov.gr/wp-content/uploads/2018/12/20181116-20181130_RawData.xlsx	crawl-data/CC-MAIN-2026-25/segments/1780687572803.65/warc/CC-MAIN-20260613051426-20260613081426-00018.warc.gz	751293368	321280	22BGFREAM7NKLIYAMDZBVNMAQRSNJIWI
CC-MAIN-2026-17	https://www.gsyongjing.gov.cn/cms_files/filemanager/813956128/attach/202512/4348d48c43af4543b43bdcbb236a8024.xlsx	crawl-data/CC-MAIN-2026-17/segments/1775805909179.84/warc/CC-MAIN-20260417204951-20260417234951-00887.warc.gz	643090571	16461	22BIILPECXCRLTPVHY7ILNL545PEI53Z
CC-MAIN-2026-21	https://www.dxzzzx.gov.cn/cms_files/filemanager/1892844109/attach/202211/72349361d7cd45d78e703599dcf43855.xlsx	crawl-data/CC-MAIN-2026-21/segments/1778213377191.12/warc/CC-MAIN-20260509160131-20260509190131-00640.warc.gz	629141148	16688	22BRLONU4QJCNQEMHKUA2L5EFKIDJJZJ
