digest	crawl	url	stage	signature
24C3OHA4JFHWYRLMBT5EWI2OVYJXZ67L	CC-MAIN-2026-25	https://ed-bs.doctorat-paysdelaloire.fr/medias/fichier/questionnaire-autoevaluation-liens_1678197172707-docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
27TV3EFX47ZHLAG7CWCMLBP3WYVM3ZWM	CC-MAIN-2026-25	https://scientific-rating.znu.edu.ua/index.php	open	docx: parsing /word/document.xml: XML syntax error on line N: illegal character code U+NF
2I5A6LZNSQEMK2OYOHEBYHC3U4BCTVML	CC-MAIN-2026-25	https://www.kla.tv/_downloads/document.kla.tv/2020/03/15924/2020-03-22_CoronaVirusHochrangigerGesundh_klaTV-15924.docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2PPO2MWUAP6KB7SSFG7C5JYYSHMGGD2R	CC-MAIN-2026-25	https://www.mestotlmace.sk/modules/file_storage/download.php	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2YEFHT2BSO7H6S75EO5TUMUXETSQAQPQ	CC-MAIN-2026-25	https://hj.tribunalconstitucional.es/HJ/docs/RESOLUCIONES/1984/SENTENCIA/SENTENCIA_1984_22.docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
37XAUK6MRBQS6CBEY74JR2MXS7ODRJIC	CC-MAIN-2026-25	https://nsp.cz/export/1503/docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3AJ6JUVRLEIE3ORDQ64AFKTSBPYKVRXC	CC-MAIN-2026-25	https://csoor.organizations.mchs.gov.ru/export/docx/Resource/160947	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3ID4R7CKMVCOJXN4HTUDTV5Z5ATL3JP4	CC-MAIN-2026-25	https://temertymedicine.utoronto.ca/media/9260/download	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3K3IIMQTLBKC4CZLCWVFOYKYNGKJDK47	CC-MAIN-2026-25	https://www.mestotlmace.sk/modules/file_storage/download.php	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3NPSHWU37CMIBMCFVQT6FFVAU4K3MZLC	CC-MAIN-2026-25	https://bahiapnab.com.br/lerarquivo/dXBsb2FkL2VkaXRhbF9kb2N1bWVudG8vMjUvZWRpdGFsLTI1LWRvY3VtZW50by0zMzkuZG9jeA==/QU5FWE8gWElJSSDigJMgTU9ERUxPIERFIERFQ0xBUkHDh8ODTyBERSBBVElWSURBREVTIEVNIEVTQ09MQVMgRVNUQURVQUlTIA==	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3VTWNWLM2SMXHZWU4RHQNH63YIYVUXNW	CC-MAIN-2026-25	https://scientific-rating.znu.edu.ua/index.php	open	docx: parsing /word/document.xml: XML syntax error on line N: illegal character code U+NF
3Y4FVJ7EBEBAHDQLIAXKNB6WLV265643	CC-MAIN-2026-25	https://rnqp.eppo.int/recommendations/ajax	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
46P6OHWNCCZVSH57MRYIP6ZCALLHOLNZ	CC-MAIN-2026-25	https://asc-ug.organizations.mchs.gov.ru/export/docx/News/4238934	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4MDJDFXQ5CRQWYK3FC7272LQWCIQFT27	CC-MAIN-2026-25	https://kulturaparyska.com/fr/publication/download-word/98789	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
4MQD66ZLLN5266S23CTFFDMMSXHRSOB7	CC-MAIN-2026-25	https://data.riksdagen.se/fil/01AB11CF-F970-4378-AB60-89940D8091B1	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
